Demo,Cohort,GROUP,atta,cab1,cab2,cab3,SCIALL,age,sex,NATIONALITY,YEARS EXPERIENCE,CAT,VOCATIONAL,YEARS VOCATIONAL,CLASSICAL,CONTEMPORARY,SOMATIC,IMPRO,TASKING,INVENTION,,ATTATOT,ATTAIND,ATTAC,ATTAL,Cab1No,Cab1Fs,Cab1Fi,Cab1o,Cab1Tot,Cab2No,Cab2Fs,Cab2Fi,Cab2o,Cab2Tot,Cab3No,Cab3Fs,Cab3Fi,Cab3o,Cab3Tot,SCIVall,SCISall,SCIMall,SCIVten,SCISten,SCIMten
175,1,TL3,1,1,1,1,0,19.83287671,M,BRITISH,5,N,Y,0,5,5,2,6,4,3,,56,11,67,3,3,1,8,3,16,4,4,5,4,21,5,4,4,4,20,,,,,,
179,1,TL3,1,1,1,1,0,21.99452055,F,IRISH,6,N,Y,2,7,3,1,8,8,1,,63,16,79,6,3,3,11,3,23,4,3,12,3,24,5,6,8,4,28,,,,,,
55,1,TL3,1,1,1,1,1,19.49315068,F,BRITISH,11,N,N,0,9,9,5,6,6,3,,62,10,72,4,3,4,5,3,19,4,3,10,6,28,5,4,9,3,23,8,10,12,0,0,0
92,1,TL3,1,1,1,1,0,20.56712329,M,BRITISH,3,y,N,0,6,8,1,6,8,1,,61,5,66,3,3,3,10,2,20,4,3,7,3,19,5,5,10,1,22,,,,,,
21,1,TL3,1,1,1,1,1,21.39452055,F,ITALIAN,5,N,N,0,4,8,3,5,7,3,,68,12,80,6,3,4,11,2,23,4,4,10,4,26,5,6,12,6,36,9,10,6,0,0,0
105,1,TL3,1,1,1,1,1,20.22191781,F,BRITISH,5,y,N,0,7,8,4,6,6,6,,65,6,71,4,3,4,10,7,32,4,5,7,7,31,5,5,9,5,29,8,13,11,0,0,0
107,1,TL3,1,1,1,1,1,21.2109589,F,BRITISH,5,y,N,0,6,8,2,6,7,5,,60,9,69,4,3,3,11,8,33,4,6,11,6,35,5,6,11,8,39,8,10,13,0,0,0
212,1,TL3,1,1,1,1,1,19.35890411,F,AMERICAN,15,N,Y,10,9,6,1,11,5,5,,68,14,82,6,3,7,6,5,30,4,6,13,5,35,5,9,10,9,46,,11,,0,0,0
134,1,TL3,1,1,1,1,0,19.85479452,M,BRITISH,11,y,N,0,8,7,1,10,10,1,,66,8,74,5,3,3,12,5,28,4,6,15,5,37,5,7,11,7,39,,,,,,
217,1,TL3,1,1,1,1,0,22.26575342,F,BRITISH,0,N,Y,2,2,6,2,5,5,2,,69,13,82,6,3,5,18,10,48,4,4,14,7,36,5,5,16,11,48,,,,,,
133,1,TL3,1,1,1,1,0,20.26575342,F,HUNGARIAN,11,y,N,0,6,9,8,6,10,6,,65,16,81,6,3,5,7,4,25,4,4,11,2,23,5,8,7,3,29,,,,,,
157,1,TL3,1,1,1,1,0,20.01643836,F,BRITISH,2,N,Y,2,7,1,1,3,1,1,,71,20,91,7,3,7,12,10,46,4,6,18,11,52,5,7,17,16,63,,,,,,
75,2,COV,1,1,0,1,0,19.13972603,F,BRITISH,15,N,N,0,0,4,2,3,0,0,,57,7,64,3,3,2,2,1,8,,,,,,5,2,5,3,15,,,,,,
37,2,COV,1,1,0,1,0,18.44383562,F,BRITSH,7,N,N,0,3,6,0,6,4,0,,61,4,65,3,3,2,10,4,22,,,,,,5,4,10,7,32,,,,,,
183,1,TL3,1,1,0,1,0,22.93972603,F,IRISH,7,N,Y,3,6,3,1,3,3,2,,69,14,83,6,3,3,18,4,32,,,,,,5,7,8,4,30,,,,,,
20,1,TL1,1,1,1,0,1,20.63835616,F,FINNISH,5,N,N,0,7,8,6,6,4,2,,59,3,62,3,1,3,9,6,27,2,5,4,5,24,,,,,,8,10,7,0,0,0
65,1,TL1,1,1,1,0,1,19.8739726,F,BRITISH,13,N,N,0,7,6,2,5,5,4,,62,12,74,5,1,5,12,5,32,2,9,7,6,37,,,,,,5,12,11,0,0,0
23,1,TL1,1,1,1,0,1,20.02739726,M,BRITISH,5,N,N,0,4,7,2,6,4,7,,69,6,75,5,1,5,13,5,33,2,8,9,7,39,,,,,,8,7,12,0,0,0
6,2,TL3,1,1,1,0,1,18.91506849,M,IRISH,2,N,N,0,8,2,7,8,6,1,,59,5,64,3,1,6,15,7,41,2,5,13,5,33,,,,,,7,8,9,0,0,0
16,2,TL3,1,1,1,0,1,10.90684932,M,ITALIAN,4,N,N,0,7,4,2,3,4,1,,68,11,79,6,1,5,7,0,17,2,4,9,4,25,,,,,,6,10,9,0,0,0
76,2,TL3,1,1,1,0,1,19.04931507,F,BRITISH,15,N,N,0,9,4,1,5,5,6,,61,4,65,3,1,4,8,5,26,2,4,7,5,25,,,,,,8,9,11,0,0,0
48,2,TL3,1,1,1,0,0,18.95890411,F,BRITISH,10,N,N,0,8,6,1,6,8,5,,68,6,74,5,1,6,11,7,37,2,9,6,8,40,,,,,,,,,,,
108,2,TL3,1,1,1,0,0,18.8739726,F,BRITISH,5,y,N,0,7,8,1,10,9,1,,57,4,61,3,1,5,12,8,38,2,8,14,4,38,,,,,,,,,,,
218,2,TL3,1,1,1,0,0,18.95616438,F,BRITISH,4,y,Y,2,7,9,5,9,9,5,,59,5,64,3,1,4,7,5,25,2,4,5,2,17,,,,,,,,,,,
2,2,TL3,1,1,1,0,0,20.4630137,F,FRENCH,0,N,N,0,6,6,2,6,5,5,,60,10,70,4,1,6,6,2,22,2,6,5,2,21,,,,,,,,,,,
35,2,TL3,1,1,1,0,1,18.20821918,F,NEW ZEALAND,7,N,N,0,9,7,4,10,10,2,,59,6,65,3,1,5,16,9,44,2,3,12,12,42,,,,,,,11,10,0,0,0
172,2,TL3,1,1,1,0,0,20.61643836,F,BRITISH,5,N,Y,1,9,7,7,7,4,6,,63,11,74,5,1,7,10,7,38,2,9,8,11,48,,,,,,,,,,,
170,2,TL3,1,1,1,0,1,19.76712329,M,BRITISH,4,N,Y,2,4,6,5,6,7,8,,67,6,73,4,1,8,9,9,43,2,7,8,5,32,,,,,,8,9,8,0,0,0
87,1,TL1,1,1,0,0,1,22.22465753,F,BRITISH,18,N,N,0,11,7,1,2,5,1,,70,13,83,6,1,4,8,5,26,,,,,,,,,,,5,8,8,0,0,0
27,1,TL1,1,1,0,0,0,20.30136986,F,CYPRIOT,6,N,N,0,6,6,3,3,3,3,,60,7,67,3,1,3,5,3,17,,,,,,,,,,,,,,,,
49,1,TL1,1,1,0,0,0,19.54246575,F,BRITISH,10,N,N,0,5,3,1,7,9,1,,63,8,71,4,1,5,8,3,24,,,,,,,,,,,,,,,,
78,1,TL1,1,1,0,0,0,20.45205479,F,BRITISH,15,N,N,0,9,4,1,3,3,5,,75,11,86,7,1,7,17,10,51,,,,,,,,,,,,,,,,
40,1,TL1,1,1,0,0,0,19.86027397,F,BRITISH,8,N,N,0,8,3,1,5,7,8,,64,4,68,4,1,2,3,1,9,,,,,,,,,,,,,,,,
42,1,TL1,1,1,0,0,1,21.93972603,F,FRENCH,8,N,N,0,7,9,2,8,8,2,,58,6,64,3,1,2,5,4,17,,,,,,,,,,,7,10,10,0,0,0
28,2,TL3,1,1,0,0,1,19.82191781,F,SWEDISH,6,N,N,0,4,2,1,7,2,3,,59,7,66,3,1,0,11,3,17,,,,,,,,,,,4,5,11,0,0,0
177,2,TL3,1,1,0,0,1,20.37534247,F,BRITISH,6,N,Y,1,6,8,1,6,6,10,,55,5,60,3,1,0,10,3,16,,,,,,,,,,,,7,4,0,0,0
129,2,TL3,1,1,0,0,1,18.36986301,F,BRITISH,10,y,N,0,5,8,4,10,6,10,,72,6,78,6,1,5,9,6,31,,,,,0,,,,,,7,11,9,0,0,0
83,1,TL2,1,1,1,0,0,19.74246575,F,BRITISH/ITALIAN,15,N,N,0,11,4,1,3,6,3,,63,11,74,5,2,6,10,2,26,3,5,13,7,37,,,,,,,,,,,
56,1,TL2,1,1,1,0,0,19.56438356,F,BRITISH,11,N,N,0,10,6,1,9,6,1,,66,11,77,5,2,4,6,3,20,3,5,10,7,34,,,,,,,,,,,
58,1,TL2,1,1,1,0,1,22.80547945,F,FINNISH,11,N,N,0,7,6,9,9,9,6,,49,4,53,2,2,4,9,1,19,3,4,9,3,23,,,,,,9,12,11,0,0,0
8,1,TL2,1,1,1,0,0,19.38356164,M,BRITISH,3,N,N,0,3,8,4,9,9,5,,58,9,67,3,2,5,9,5,29,3,3,9,9,33,,,,,,,,,,,
126,1,TL2,1,1,1,0,1,19.37808219,F,BRITISH,9,y,N,0,8,9,3,9,9,7,,71,15,86,7,2,5,13,4,31,3,7,12,6,38,,,,,,6,,13,0,0,0
197,1,TL2,1,1,1,0,0,23.68493151,F,FINNISH,10,N,Y,1,8,6,6,9,7,6,,48,4,52,2,2,4,7,1,17,3,6,8,1,22,,,,,,,,,,,
116,2,TL4,1,1,1,0,1,18.7369863,F,BRITISH,6,y,N,0,8,8,5,7,7,2,,59,6,65,3,2,4,17,3,31,3,6,10,2,26,,,,,,5,10,15,0,0,0
72,2,TL4,1,1,1,0,1,18.64931507,F,GREEK,14,N,N,0,2,3,1,1,1,1,,66,10,76,5,2,2,10,1,16,3,4,9,4,25,,,,,,9,7,11,0,0,0
226,2,TL4,1,1,1,0,1,19.14246575,F,BRITISH,10,y,Y,2,7,9,4,9,6,4,,64,7,71,4,2,5,9,1,21,3,2,16,2,24,,,,,,,11,,0,0,0
111,2,TL4,1,1,1,0,1,18.63013699,M,BRITISH,5,y,N,0,5,5,4,8,6,4,,64,17,81,6,2,4,8,7,30,3,2,7,6,23,,,,,,4,11,11,0,0,0
66,2,TL4,1,1,1,0,1,19.62465753,F,BRITISH,13,N,N,0,8,7,3,4,8,2,,54,7,61,3,2,6,7,1,21,3,4,7,2,19,,,,,,9,9,10,0,0,0
62,2,TL4,1,1,1,0,0,19.36712329,M,AMERICAN,12,N,N,0,9,11,7,11,1,7,,63,4,67,3,2,6,10,6,34,3,6,9,4,29,,,,,,,,,,,
131,2,TL4,1,1,1,0,1,18.53150685,F,BRITISH,11,y,N,0,9,8,9,7,7,6,,60,7,67,3,2,6,2,4,22,3,3,9,3,21,,,,,,3,12,9,0,0,0
201,2,TL4,1,1,1,0,1,25.01643836,F,CHINESE,10,N,Y,7,8,8,4,7,4,3,,56,4,60,3,2,2,6,2,14,3,3,9,2,19,,,,,,3,4,6,0,0,0
29,1,TL2,1,1,0,0,0,19.54520548,F,AMERICAN,6,N,N,0,3,5,4,6,4,6,,57,14,71,4,2,7,7,4,29,,,,,,,,,,,,,,,,
71,1,TL2,1,1,0,0,0,21.26575342,F,BRITISH,14,N,N,0,10,9,2,8,7,2,,64,9,73,4,2,4,10,4,26,,,,,,,,,,,,,,,,
90,2,TL4,1,1,0,0,0,18.89863014,F,BRITISH,2,y,N,0,3,5,7,8,6,1,,64,13,77,5,2,6,14,4,34,,,,,,,,,,,,,,,,
60,2,TL4,1,1,0,0,0,19.35342466,F,ITALIAN,11,N,N,0,8,7,1,5,5,6,,59,12,71,4,2,3,4,1,12,,,,,,,,,,,,,,,,
144,2,COV,1,1,1,0,1,20.32328767,F,BRITISH,0,y,N,0,0,0,0,0,0,0,,52,3,55,2,3,2,4,0,8,4,5,2,1,14,,,,,,4,11,12,0,0,0
227,2,COV,1,1,1,0,0,20.55890411,F,BRITISH,10,y,Y,1,9,9,7,8,8,6,,60,9,69,4,3,3,8,8,30,4,5,12,8,38,,,,,,,,,,,
31,2,COV,1,1,1,0,1,20.1369863,F,BRITISH,7,N,N,0,3,5,1,6,7,1,,62,8,70,4,3,3,6,6,24,4,8,7,10,43,,,,,,6,10,9,0,0,0
33,2,COV,1,1,1,0,1,18.93424658,F,BRITISH,7,N,N,0,8,8,5,7,2,2,,65,14,79,6,3,4,5,3,19,4,5,6,8,32,,,,,,7,12,12,0,0,0
10,2,COV,1,1,1,0,0,18.84931507,F,ASIAN,4,N,N,0,7,8,3,5,4,6,,55,8,63,3,3,2,10,4,22,4,5,9,3,25,,,,,,,,,,,
193,1,TL3,1,1,1,0,0,20.67123288,M,ROMANIAN,9,N,Y,9,7,4,3,9,9,2,,57,7,64,3,3,2,9,4,21,4,4,6,4,22,,,,,,,,,,,
203,1,TL3,1,1,1,0,1,22.56986301,M,ITALIAN,10,N,Y,3,7,7,6,6,4,2,,64,9,73,4,3,3,15,3,27,4,6,17,7,43,,,,,,9,8,10,0,0,0
190,1,TL3,1,1,1,0,0,20.55890411,F,NORWEIGIAN,8,N,Y,3,6,8,5,8,6,6,,60,8,68,4,3,3,5,3,17,4,5,8,6,30,,,,,,,,,,,
137,1,TL3,1,1,1,0,1,19.70136986,F,BRITISH,12,y,N,0,8,5,2,5,1,1,,59,5,64,3,3,4,11,2,23,4,4,10,6,30,,,,,,8,11,,0,0,0
130,1,TL3,1,1,1,0,0,19.45205479,F,BRITISH,10,y,N,0,6,6,1,5,4,2,,62,10,72,4,3,7,14,8,44,4,5,14,3,30,,,,,,,,,,,
24,2,COV,1,1,0,0,1,24.43287671,F,BRITISH,6,N,N,0,2,4,1,4,3,3,,64,10,74,5,3,2,7,6,23,,,,,,,,,,,8,10,14,0,0,0
194,2,COV,1,1,0,0,1,19.26027397,F,BRITISH,10,N,Y,2,4,6,3,6,4,5,,67,12,79,6,3,4,6,4,22,,,,,,,,,,,8,8,8,0,0,0
216,2,COV,1,1,0,0,0,21.92328767,F,BRITISH,18,N,Y,1,7,9,6,8,7,7,,64,10,74,5,3,3,10,6,28,,,,,,,,,,,,,,,,
19,2,COV,1,1,0,0,0,21.24931507,F,BULGARIAN,5,N,N,0,6,1,0,0,0,0,,51,6,57,2,3,3,5,0,11,,,,,,,,,,,,,,,,
4,2,COV,1,1,0,0,0,18.98356164,F,BRITISH,0,0,N,0,1,2,0,5,0,0,,68,8,76,5,3,1,6,2,12,,,,,,,,,,,,,,,,
63,2,COV,1,1,0,0,1,18.48767123,F,BRITISH,13,N,N,0,9,6,3,7,5,3,,62,5,67,3,3,3,7,1,15,,,,,,,,,,,9,10,7,0,0,0
180,2,COV,1,1,0,0,0,27.56712329,M,BRITISH,6,N,Y,2,0,0,0,0,0,0,,46,3,49,1,3,4,9,3,23,,,,,,,,,,,,,,,,
47,2,COV,1,1,0,0,0,20.84109589,F,BRITISH,10,N,N,0,2,4,4,1,6,2,,58,6,64,3,3,3,7,1,15,,,,,,,,,,,,,,,,
12,2,COV,1,1,0,0,0,19.96986301,F,BRITSH,4,N,N,0,7,7,7,6,6,7,,61,5,66,3,3,2,5,4,17,,,,,,,,,,,,,,,,
81,2,COV,1,1,0,0,1,18.47123288,F,BRITSH,15,N,N,0,5,7,3,4,1,8,,66,9,75,5,3,3,10,6,28,,,,,,,,,,,7,8,11,0,0,0
32,2,COV,1,1,0,0,0,19.54520548,F,BRITISH,7,N,N,0,2,8,7,5,5,7,,65,10,75,5,3,3,7,8,29,,,,,,,,,,,,,,,,
57,2,COV,1,1,0,0,0,18.93972603,F,BRITISH,11,N,N,0,7,7,5,5,5,5,,56,6,62,3,3,3,6,4,20,,,,,,,,,,,,,,,,
214,2,COV,1,1,0,0,0,18.5260274,F,BRITISH,16,N,Y,12,9,7,4,3,5,4,,68,16,84,6,3,4,6,11,36,,,,,,,,,,,,,,,,
229,1,TL4,0,1,1,0,0,29.40821918,F,MEXICAN,13,y,Y,4,9,9,3,3,3,1,,,,,,4,4,12,7,34,5,5,17,9,45,,,,,,,,,,,
169,2,TL1,1,1,1,0,0,21.08219178,M,BRITISH,4,N,Y,1,4,5,3,6,1,1,,56,11,67,3,4,4,4,4,20,5,7,6,6,32,,,,,,,,,,,
67,2,TL1,1,1,1,0,0,20.73424658,F,ITALIAN,13,N,N,0,4,7,1,6,7,4,,58,8,66,3,4,1,2,0,4,5,3,8,0,14,,,,,,,,,,,
45,2,TL1,1,1,1,0,1,22.65205479,M,ITALIAN,9,N,N,0,10,1,6,7,3,2,,68,13,81,6,4,4,8,5,26,5,6,21,9,51,,,,,,7,8,8,0,0,0
59,2,TL1,1,1,1,0,1,21.89315068,F,CYPRIOT,11,N,N,0,7,4,1,4,4,1,,59,14,73,4,4,3,6,2,16,5,6,4,0,16,,,,,,5,6,8,0,0,0
228,2,TL1,1,1,1,0,0,21.73150685,F,KOREAN,12,y,Y,1,8,6,4,4,3,4,,58,9,67,3,4,3,11,7,31,5,5,14,8,40,,,,,,,,,,,
136,2,TL1,1,1,1,0,0,19.22191781,F,BRITISH,12,y,N,0,6,5,1,6,6,4,,72,11,83,6,4,4,9,6,29,5,6,13,6,37,,,,,,,,,,,
178,2,TL1,1,1,1,0,1,20.21369863,F,HUNGARIAN,6,N,Y,1,9,9,6,9,3,3,,52,7,59,2,4,3,4,0,10,5,5,3,0,13,,,,,,,14,9,0,0,0
98,2,TL1,1,1,1,0,1,18.37534247,M,BRITISH,4,y,N,0,7,9,1,10,8,1,,60,16,76,5,4,2,7,1,13,5,4,6,7,28,,,,,,5,10,14,0,0,0
122,2,TL1,1,1,1,0,1,18.53972603,F,BRITISH,7,y,N,0,5,6,1,5,3,1,,64,11,75,5,4,6,11,7,37,5,8,8,8,40,,,,,,7,14,12,0,0,0
41,2,TL1,1,1,1,0,1,18.77534247,F,BRITISH,8,N,N,0,8,7,2,6,8,1,,61,11,72,4,4,5,8,7,32,5,6,8,3,26,,,,,,7,10,13,0,0,0
165,2,TL1,1,1,1,0,1,23.76986301,M,GERMAN,3,N,Y,1,3,4,7,9,9,8,,49,4,53,2,4,4,8,7,30,5,5,6,8,32,,,,,,1,8,9,0,0,0
89,2,TL1,1,1,1,0,0,19.2630137,F,BRITISH,1,y,N,0,1,5,9,8,7,1,,51,7,58,2,4,7,6,4,28,5,6,14,8,42,,,,,,,,,,,
74,1,TL4,1,1,1,0,0,20.16438356,F,BRITISH,15,N,N,0,8,3,3,6,2,3,,67,14,81,6,4,5,6,3,22,5,7,8,5,32,,,,,,,,,,,
117,1,TL4,1,1,1,0,0,19.98082192,F,BRITISH,6,y,N,0,6,6,1,6,1,1,,64,8,72,4,4,5,5,5,25,5,6,7,7,33,,,,,,,,,,,
95,1,TL4,1,1,1,0,0,19.39452055,F,BRITISH,4,y,N,0,3,7,1,5,5,2,,68,10,78,6,4,6,7,4,27,5,5,10,5,30,,,,,,,,,,,
9,1,TL4,1,1,1,0,1,20.63561644,M,BRITISH,3,N,N,0,3,5,7,7,7,6,,69,10,79,6,4,2,4,6,20,5,8,8,8,40,,,,,,,8,12,0,0,0
186,1,TL4,1,1,1,0,0,21.55068493,F,BRITISH,8,N,Y,3,8,4,2,7,5,3,,60,10,70,4,4,5,14,5,34,5,7,11,9,43,,,,,,,,,,,
209,2,TL1,1,1,0,0,0,18.39726027,F,BRITISH,15,N,Y,1,10,6,4,4,5,5,,61,10,71,4,4,4,8,4,24,,,,,,,,,,,,,,,,
99,2,TL1,1,1,0,0,1,18.68767123,M,BRITISH,4,y,N,0,4,8,1,4,9,7,,65,13,78,6,4,4,8,4,24,,,,,,,,,,,9,10,12,0,0,0
232,1,TL4,1,1,0,0,1,22.94246575,F,FINNISH,17,y,Y,1,6,1,2,10,10,1,,43,0,43,1,4,3,12,4,26,,,,,,,,,,,8,12,13,0,0,0
152,1,COV,0,1,1,0,0,20.07945205,F,BRITISH,9,N,N,0,8,8,5,10,8,6,,,,,,5,5,7,3,23,1,5,8,4,26,,,,,,,,,,,
156,1,COV,1,1,1,0,1,20.34520548,F,BRITISH,16,N,N,0,9,7,3,6,3,5,4,54,4,58,2,5,3,5,5,21,1,4,6,5,24,,,,,,8,13,15,0,0,0
149,1,COV,1,1,1,0,1,20.28767123,F,BRITISH,5,N,N,0,8,6,7,9,9,9,,65,11,76,5,5,4,9,7,31,1,6,7,8,35,,,,,,8,10,8,0,0,0
147,1,COV,1,1,1,0,1,19.61643836,F,BRITISH,4,N,N,0,2,5,4,9,9,7,,52,6,58,2,5,3,6,1,14,1,3,8,3,20,,,,,,8,9,9,0,0,0
46,2,TL2,1,1,1,0,1,19.59178082,F,BRITISH,10,N,N,0,8,7,2,5,1,1,,68,9,77,5,5,4,4,5,22,1,5,9,9,37,,,,,,8,11,13,0,0,0
125,2,TL2,1,1,1,0,1,18.57808219,F,BRITISH,9,y,N,0,8,6,5,6,6,6,,70,9,79,6,5,3,10,8,32,1,7,14,13,54,,,,,,4,7,6,0,0,0
25,2,TL2,1,1,1,0,1,18.7369863,F,BRITISH,6,N,N,0,1,8,10,11,10,9,,69,15,84,6,5,4,9,3,23,1,7,11,8,41,,,,,,5,5,4,0,0,0
163,2,TL2,1,1,1,0,0,19.98356164,M,BRITISH,3,N,Y,3,5,5,1,4,1,1,,58,7,65,3,5,3,5,5,21,1,5,9,6,31,,,,,,,,,,,
15,2,TL2,1,1,1,0,1,19.2109589,M,BRITISH,4,N,N,0,7,7,7,6,10,7,,60,6,66,3,5,3,4,4,18,1,3,6,6,24,,,,,,7,10,14,0,0,0
106,2,TL2,1,1,1,0,1,18.54246575,F,BRITISH,5,y,N,0,7,6,2,3,3,4,,58,9,67,3,5,5,9,5,29,1,3,10,4,24,,,,,,6,12,13,0,0,0
7,2,TL2,1,1,1,0,0,21.77808219,M,ITALIAN,2,N,N,0,3,1,6,8,7,3,,56,14,70,4,5,4,8,4,24,1,3,11,6,29,,,,,,,,,,,
5,2,TL2,1,1,1,0,1,19.78082192,F,BRITISH,2,N,N,0,5,3,1,2,2,3,,69,11,80,6,5,4,6,2,18,5,6,12,4,32,,,,,,11,11,14,0,0,0
3,1,COV,1,1,0,0,1,20.33424658,F,0,15,0,0,0,5,4,1,6,3,6,,60,8,68,4,5,4,7,5,25,,,,,,,,,,,3,,8,0,0,0
145,1,COV,1,1,0,0,0,19.48493151,F,BRITISH,2,N,N,0,1,5,3,9,4,3,,67,12,79,6,5,0,3,4,11,,,,,,,,,,,,,,,,
148,1,COV,1,1,0,0,1,20.2109589,M,JAMAICAN,4,N,N,0,5,8,4,11,10,7,,64,6,70,4,5,4,7,4,23,,,,,,,,,,,3,,,0,0,0
153,1,COV,1,1,0,0,0,20.10136986,F,BRITISH,9,N,N,0,5,9,2,7,9,8,,66,14,80,6,5,2,6,3,16,,,,,,,,,,,,,,,,